bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,genusMyotis,genusRhinolophus,genusRhinopoma,genusRousettus,AgeJuvenile_.J.,SexMale_.M.,genusMyotis.AgeJuvenile_.J.,genusRhinolophus.AgeJuvenile_.J.,genusRhinopoma.AgeJuvenile_.J.,genusRousettus.AgeJuvenile_.J.,genusMyotis.SexMale_.M.,genusRhinolophus.SexMale_.M.,genusRhinopoma.SexMale_.M.,genusRousettus.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
13,-1.72622886394904,-0.109229027697558,-0.0663915385561518,0.19891764233746,-0.0119394430321334,0.288947024769822,-0.0230926288085586,-0.23170760526742,0.445207013782614,0.0485990454222632,-0.386752051444565,0.431519447015835,0.0599220186791623,-0.158193052426984,-0.175939198363986,-0.185172300075043,0.0130278169222444,-0.231834778065016,0.118088939225918,0.340961693720007,-0.373478393212303,-0.0920494399830392,0.0114955281672695,-0.0878334759374549,0.327231275457909,0.484152952179397,0.295608333750947,-0.673328510264003,-0.387820955797727,0.617906352765263,-0.20568614469803,-0.452854081446168,0.200879484313805
14,-2.41923552294778,-0.598108303541981,0.00100089165446712,0.368137316517384,-0.120111415253207,0.30091841347564,-0.021801370341882,-0.45486386254121,0.956791874514312,-0.267619576230347,-0.185195251335557,1.32747799933347,-0.36943973573928,-0.0300330022304752,-0.0353081116435708,-0.0576332153916913,-0.00430438480539248,-0.180844328687133,-0.202072250318769,0.349110189053304,-0.400333087817405,-0.324371869344638,-0.365146251256962,0.0174436235228229,-0.237224340746607,1.3583120991855,1.81542378107837,-0.231283736519312,-1.17994600377693,0.536149820551864,0.102415752760627,-0.598335000208139,-0.0258723197116508
15,-1.88712859517374,-0.430538664440215,0.501459946145114,0.663170803495207,0.0940026243777569,0.321609962407135,0.0687414515455975,-0.775672427260045,0.59290140446892,-0.177334595924879,-0.193801750787703,0.905982304028256,-0.313486235951641,-0.458023003969511,-0.19352011700775,-0.261206459474779,0.222966591681381,-0.0506963629686953,-0.0764165488087618,0.158764172671277,-0.847952332929903,-0.629298673304977,-0.474493855209398,-0.126355437826338,0.58565902532228,0.927809404978458,1.53079697063267,-1.72974901471899,-0.952984233001777,0.67429508077694,0.347624522501261,-1.37923440608162,0.520379917614237
16,-2.40519869312933,0.504201940950638,0.479469417384231,0.312807120899485,-0.217884503868476,-0.0867637185097533,-0.225524967626671,-0.251417693378351,1.10319784543198,-0.351046097264958,-0.676987757383875,0.963028920982702,0.160006403068205,0.00543968759321591,-0.0825173217655602,-0.102307889856688,0.227545181160371,-0.261486296571318,-0.123506858805728,0.509613086149643,-0.561729338338151,0.0144910437205562,-0.0874096375430149,0.0319023576083689,0.436130529663007,1.02589948279329,0.791337390009184,-1.61893896671699,-0.925016039354938,0.333123691583306,0.303127491261818,-0.297188086260815,0.0380954413203996
17,-2.38013392432948,0.268284202680678,0.24136947768799,0.404028409325929,-0.0817074218467112,0.317126301729068,-0.237868887269363,-0.678581314050594,0.893030457186561,-0.187640071459273,-0.861347327858772,0.905490211358248,-0.0666940477718468,0.0472200360213837,-0.199852286291026,-0.10706764600578,0.287309569848146,-0.383041760114122,-0.509720435777318,0.609862215575586,-0.455626781231175,0.00800918388908648,-0.247614047122521,-0.50651372770971,1.28689050041289,1.64441735241982,1.27256043441834,-0.0858174255245845,-0.289896902357644,0.741111809353631,0.310357789081663,-0.0728552594271581,0.00151929722365309
18,-1.77009310474853,0.153965817066977,0.417883679085974,0.208363900460206,-0.134784932902502,0.660234982599714,0.113704443509583,-0.829137534798378,1.16066871719944,-0.114410183291539,-0.451644222304337,1.47237019116263,-0.0863768674058281,-0.65476412683334,-0.539703503649173,-0.45780081110534,0.0575407768628984,-0.405936048181252,-0.978407941480224,-0.40873715827817,-0.280249415633157,-0.305358670140445,-0.308917999599824,-0.551767709321002,0.559973727076362,1.75124141409867,-1.47801817348078,-0.526178833005369,-0.314483373927335,0.786407465365483,-0.306925300262508,-0.094159418904578,0.313650302037197
19,-2.21161012414178,-0.632157509049732,0.303031990691153,0.817173397142976,0.354528938609098,0.590289199563943,0.110224790823323,-0.8520790177839,0.902685811792364,-0.0910649012997135,-0.252164036427555,0.798818796546512,-0.290178302900821,-0.26488013102961,-0.564970084700333,-0.081488684019366,-0.0108433090521621,-0.346389782241729,-0.535749957640292,0.523426189986015,-0.042990796275834,-0.497902918073198,-0.24347720443223,-0.431851611435641,0.848237899766006,1.51904686815473,0.733738536413997,-1.44165994683034,-0.155173397333334,0.719566938311512,-0.620966507156925,-1.64244842214891,0.157651047176996
20,-2.36711989039979,0.742089599981868,0.223493470666921,0.624436180122,-0.139832915257783,0.120416251451749,-0.231954233426363,-0.309830408907078,1.11189758741913,-0.361405124013407,-0.281932373793988,0.735956858393076,-0.325865015188451,0.331044898716226,-0.0331044565463139,-0.0479468714559571,0.311724164416398,-0.44473696514404,-0.516845339691946,0.541264036468306,0.0201119435174744,-0.245593048702618,-0.63217844729515,-0.367489745132622,0.634663976002634,1.69785538924374,1.1990151616177,-1.02706529282186,-0.547928482700269,0.353924957818808,0.120851094123215,-1.39885555673669,0.32467347830584
21,-1.97193900812268,0.446863038757525,-0.0293372065219446,0.0937009929280305,-0.00941621417589746,0.253813597579795,-0.133056344473965,-0.682007771892998,0.807218478802743,-0.235732452691871,-0.451633097132852,0.989525312428303,-0.0690297140767263,0.0622287093984825,-0.0487557661282796,-0.279345799693765,-0.0764783203858919,-0.0714346608527203,-0.193790958235649,0.287240913646517,-0.242902678717072,-0.232047297936348,-0.0576319590025349,-0.411838861388006,0.625823602000861,1.45557590402254,-0.189328472730503,-0.322730528933113,-0.907014059724061,0.751538233455333,-0.190521888861468,-0.366894228057938,-0.11266242520669
22,-1.89205162467304,1.37057918736049,0.197520016527013,0.166744738789216,-0.0521519703014412,0.164886665510235,0.098201710806698,-0.389547583674513,0.732001691088315,-0.190844184148732,-0.187059535083298,1.02756914434275,0.143384377876265,-0.82711743132624,-0.498229098485722,-0.288196245033457,0.190105737193742,-0.171286842410196,-0.292423846726641,0.318358798998144,-0.426070318257625,-0.320764038334352,-0.254844163195519,-0.146964773886695,0.0978114953580301,0.635188311843269,0.421248121868183,-0.934846707430505,-0.753946383473118,0.395744287515809,-0.0700204021549393,-0.482575473940644,0.527257863211468
