bs_replicate,X.Intercept.,Human.population.size.in.1.km.radius.of.site.greater_than_1.000_humans_.urban.,Human.population.size.in.1.km.radius.of.site.less_than_100_humans_.rural.,Human.population.size.in.1.km.radius.of.site.No_humans_observed_in_1_km,labLab_B,Shannon_H_index_cs,Fraction_juv_cs,Fraction_F_cs,Trapping.at.a.cave.or.mine.Yes,Frequency.of.human.visitation.to.the.siteMonthly,Frequency.of.human.visitation.to.the.siteNot_visited_by_humans,Frequency.of.human.visitation.to.the.siteOccasionally,Frequency.of.human.visitation.to.the.siteSeasonal,Frequency.of.human.visitation.to.the.siteWeekly,Frequency.of.human.visitation.to.the.siteYearly,Water.present.at.the.site.Yes,Site.accessibilityEasy,Site.accessibilityModerate,Bat.familyPteropodidae,Bat.familyRhinolophidae,Bat.familyRhinopomatidae,Bat.familyVespertilionidae,AgeJuvenile_.J.,SexMale_.M.,Bat.familyPteropodidae.AgeJuvenile_.J.,Bat.familyRhinolophidae.AgeJuvenile_.J.,Bat.familyRhinopomatidae.AgeJuvenile_.J.,Bat.familyVespertilionidae.AgeJuvenile_.J.,Bat.familyPteropodidae.SexMale_.M.,Bat.familyRhinolophidae.SexMale_.M.,Bat.familyRhinopomatidae.SexMale_.M.,Bat.familyVespertilionidae.SexMale_.M.,AgeJuvenile_.J..SexMale_.M.
12,-2.38076288139706,-0.922295657496495,-0.195939574887215,0.220793402936564,-0.208204237996612,0.676144772469015,0.0271281472644756,-0.785483916115893,1.15085336141448,-0.120368922432378,-0.0812242118424833,1.56704608936998,0.208845953520812,-0.112413275611873,-0.0709582187269443,-0.298486636795528,0.128760600130685,-0.275244203866546,-0.307388627443835,0.255104105994688,-0.204691454152035,-0.593077547883313,-0.186860358330294,-0.372433407483001,0.0327433850201723,1.43609410898921,0.0578273166260149,0.97348455794265,-1.16534220762406,0.815997858112419,-0.248987746901057,-0.68963630839727,0.049812350030516
13,-2.51726140856617,-0.714434501044929,-0.00827620044715609,0.110830458414933,-0.0934682348676596,0.43797925826792,-0.0728750190299384,-0.492799834735017,0.77988542094202,-0.101297574913228,-0.27287642924556,1.22539367875997,0.0494688270111561,0.0224573588702727,0.0467471809695941,-0.276462832665031,-0.0469832764760906,-0.17613516994267,0.0497991322164158,0.555039205917053,-0.171765977299442,-0.323398208739833,-0.0531252191141807,-0.0131889008446478,0.0322113572271508,1.17623914473997,0.126640539009633,0.959931454311007,-0.911547698347627,0.693430503070176,-0.093433525817384,-0.0405752907400536,-0.0466664060727329
14,-2.42405354568587,0.788984179482397,-0.0237053571249809,0.424577996640585,-0.122920079665177,0.346351903503453,0.0294537556668566,-0.616666910717028,1.34388358555985,-0.198465090533016,-0.0309945165464321,1.22390043413722,0.219718223180847,0.103647777584648,0.187835820503225,-0.329520886524059,0.0859738716379759,-0.0681411466918539,-0.510516054086146,0.169402476509273,-0.386680061061899,-0.834994208885259,-1.07280428879206,-0.0898876069850368,-0.512702707075851,1.91355775653554,-1.30080352393964,0.859251333189758,0.106718403444793,0.376135553216199,-0.503303719670635,-0.191119650936132,0.533841421487145
15,-2.04894244035485,-0.549394803482306,1.01548614762379,0.270535682381674,0.265208927015787,0.560589607659403,-0.0543636134936228,-0.931351414060984,0.462385937614798,-0.0285572739030756,-0.346934588222978,1.20128997160556,0.0636275965590782,0.666916603160713,-0.913772165301199,-0.701483041934365,0.575074137141002,-0.406807724910677,-0.151967285123638,0.346568411373469,-0.559941043853402,-0.337556563427725,-0.793696556410303,0.0728530879550433,-0.215930592688133,1.46896390709159,2.48105598656992,1.32610407537757,-1.31516589813424,0.32289177733023,-0.195521725248928,-0.608657228019089,0.185123467342783
16,-2.43417185572675,-1.6790922069774,0.827450374573077,0.909901671966965,-0.0123467253676762,0.604523393627825,0.306210526301059,-0.809198357364371,0.849633396526205,-0.144965505667967,-0.0266394507183307,1.3268151111837,-0.226146397275019,-0.0894331597561742,-0.380997351319226,-0.116449850678584,0.409811886902906,-0.232978303121739,-0.276284501230912,0.0524100461863508,-0.450100205388445,-1.03059981631595,-1.10450428345805,-0.0826054785609449,0.329030737684215,1.90939302431374,2.1151928744563,1.06395650055104,-0.937844496956564,0.591928221135964,-0.0854393928451987,-0.428995348279036,-0.0642776996523583
17,-2.86982952004446,0.377209860579292,0.166152716602152,0.202547648547937,-0.250261193320137,0.612852507799003,0.202517087837979,-0.7778634286696,1.2986696999031,0.0280903433469934,-0.309806813074692,1.49648836141298,0.0114765361361057,-0.346271928180537,-0.536550431117319,-0.00842187400238879,0.261426900846449,-0.143170366066548,-0.00267988314010575,0.394306716518348,-0.270586230025835,-0.423537446513283,-0.273075129546359,-0.0149510258154898,-0.156760842056655,1.38133053762507,-0.142302376988182,0.348665103206909,-0.647019388972398,0.452283166459788,-0.333628363750128,-0.665874451696342,0.087337677134792
18,-2.33967464367109,-0.379477914013618,-0.147825790281448,0.373622341411131,-0.164781507395171,0.604305113116234,-0.0130007361586163,-0.501243139695099,1.07748992942233,-0.129392681893642,0.107322079733584,1.27380112750368,-0.103952969576638,-0.0584513114598702,-0.0103075801502758,-0.293016366278876,0.0571963231270551,-0.258511615598482,-0.604716904695303,0.326348388821279,-0.0253389929554473,-0.751454283928266,-0.23742480323232,-0.200871317828455,-0.0976513592133057,1.6773189345308,2.05594683595605,0.499387276242458,0.103934303969744,0.467791844188423,-0.046773762836504,-0.311046012587468,-0.296430125686667
19,-2.320128371703,-0.0482229471091192,0.391514443720562,0.357852111767629,0.0706527144305083,0.866305361855726,0.106676382166011,-0.712516110785485,0.930461959976074,-0.0309456849389501,-0.131483909500367,1.28791371040175,0.183500543469979,-0.131189867408883,-0.0672962184401488,-0.364479231350798,0.264785028847611,-0.398411257429282,-0.25486807165384,0.106026990079442,-0.608643740965013,-0.33527211325754,-0.487198606495257,-0.603490960274561,-1.7650241628305,1.92329119247434,0.536643868001006,0.536931525545641,0.0432426076050818,0.664955777765613,0.161787018521015,-0.416250314111573,0.312377021619578
20,-2.46177147577429,0.121824044726368,0.0793700297159634,0.26435259753646,0.0732843407696794,0.840560861549496,0.336904056025309,-0.789850166322647,0.754286552574733,-0.120020000217491,-0.0341038181879693,1.26614535085654,-0.113766058643323,-0.226005698921914,0.144963206376046,-0.332660926899614,-0.152047301560113,-0.31743408447629,0.0509292959875463,0.678967556248374,-0.201848719187711,-0.0978761316997653,-0.322157584150917,-0.0792638137939026,-0.449146712639749,1.46071765669632,1.35095264386992,0.539678424293015,-0.328213660716757,0.488871664505124,-0.0857771009140097,-0.762016718453794,0.102669318785275
21,-2.28948476244429,-0.158447930728074,0.30796470044249,0.26836393507336,-0.0424196731709615,0.652508372372083,0.0985392857872389,-0.645496110368054,0.943938221186511,-0.0565093211022782,-0.214151649715452,1.47026024862571,0.0160866264022477,-0.0633052699448339,-0.0613872732016154,-0.308916631582702,0.18767139964915,-0.159806357829866,0.0932795859363228,0.214818563352898,-0.557642726202259,-0.463552887095312,-0.200643773833069,0.094184823764223,-0.536340349039693,1.36405428561523,1.78884130336315,0.206932371388026,-0.96724960683368,0.0286841505797861,-0.146497331177037,-1.11786887706553,0.292454343200145
